Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Harmony_Schools_Grade 3 Reading_At Approaches Grade Level or Above,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.14,0.54,-0.15,0.58,-0.12,0.48,-0.13,0.62,-0.13,0.53,-0.09,0.50
Harmony_Schools_Grade 3 Reading_At Approaches Grade Level or Above,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.15,0.63,-0.18,0.63,-0.16,0.54,-0.12,0.76,-0.17,0.55,-0.12,0.59
Harmony_Schools_Grade 4 Mathematics_At Masters Grade Level,Harmony_Schools,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.16,0.12,-0.18,0.09,-0.13,0.06,-0.13,0.22,-0.15,0.06,-0.15,0.11
Harmony_Schools_Grade 4 Mathematics_At Masters Grade Level,Harmony_Schools,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.16,0.11,-0.09,0.14,-0.23,0.06,0.08,0.17,-0.15,0.10,-0.08,0.11
Harmony_Schools_Grade 4 Mathematics_At Meets Grade Level or Above,Harmony_Schools,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.21,0.23,-0.16,0.25,-0.22,0.14,-0.25,0.34,-0.23,0.16,-0.24,0.22
Harmony_Schools_Grade 4 Mathematics_At Meets Grade Level or Above,Harmony_Schools,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.24,0.25,-0.17,0.28,-0.35,0.15,0.22,0.67,-0.23,0.22,-0.16,0.26
Harmony_Schools_Grade 4 Mathematics_At Approaches Grade Level or Above,Harmony_Schools,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.24,0.50,-0.26,0.45,-0.25,0.42,-0.15,0.66,-0.27,0.41,-0.28,0.47
Harmony_Schools_Grade 4 Mathematics_At Approaches Grade Level or Above,Harmony_Schools,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.33,0.50,-0.27,0.55,-0.44,0.40,-0.15,0.67,-0.35,0.47,-0.34,0.48
Harmony_Schools_Grade 4 Reading_At Masters Grade Level,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.14,0.09,-0.14,0.08,-0.10,0.08,-0.08,0.16,-0.14,0.05,-0.15,0.07
Harmony_Schools_Grade 4 Reading_At Masters Grade Level,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.05,0.13,0.00,0.23,-0.09,0.03,-0.01,0.17,-0.02,0.13,-0.02,0.09
Harmony_Schools_Grade 4 Reading_At Meets Grade Level or Above,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.09,0.30,0.06,0.43,-0.19,0.17,-0.03,0.33,-0.08,0.27,-0.15,0.20
Harmony_Schools_Grade 4 Reading_At Meets Grade Level or Above,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.20,0.25,-0.13,0.29,-0.22,0.17,-0.21,0.38,-0.20,0.18,-0.25,0.21
Harmony_Schools_Grade 4 Reading_At Approaches Grade Level or Above,Harmony_Schools,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.25,0.54,-0.28,0.52,-0.29,0.43,-0.17,0.75,-0.28,0.45,-0.23,0.52
Harmony_Schools_Grade 4 Reading_At Approaches Grade Level or Above,Harmony_Schools,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.09,0.57,-0.04,0.62,-0.14,0.50,-0.32,0.50,-0.10,0.55,-0.12,0.54
Harmony_Schools_Grade 5 Mathematics+_At Masters Grade Level,Harmony_Schools,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.26,0.12,-0.38,0.10,-0.15,0.11,-0.40,0.10,-0.25,0.12,-0.21,0.10
Harmony_Schools_Grade 5 Mathematics+_At Masters Grade Level,Harmony_Schools,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.13,0.21,-0.11,0.16,-0.07,0.19,-0.26,0.21,-0.12,0.14,-0.16,0.15
Harmony_Schools_Grade 5 Mathematics+_At Meets Grade Level or Above,Harmony_Schools,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.32,0.30,-0.49,0.25,-0.20,0.29,-0.60,0.20,-0.31,0.28,-0.30,0.26
Harmony_Schools_Grade 5 Mathematics+_At Meets Grade Level or Above,Harmony_Schools,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.14,0.41,-0.15,0.33,-0.05,0.40,-0.19,0.51,-0.11,0.35,-0.14,0.36
Harmony_Schools_Grade 5 Mathematics+_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.21,0.66,-0.21,0.61,-0.20,0.64,-0.22,0.74,-0.24,0.60,-0.28,0.60
Harmony_Schools_Grade 5 Mathematics+_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.27,0.62,-0.32,0.60,-0.25,0.60,-0.30,0.70,-0.27,0.61,-0.26,0.62
Harmony_Schools_Grade 5 Reading+_At Masters Grade Level,Harmony_Schools,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,-0.12,0.19,-0.17,0.24,-0.07,0.12,-0.40,0.10,-0.10,0.19,-0.13,0.13
Harmony_Schools_Grade 5 Reading+_At Masters Grade Level,Harmony_Schools,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,-0.02,0.28,0.00,0.25,0.03,0.25,-0.16,0.29,-0.03,0.20,-0.06,0.20
Harmony_Schools_Grade 5 Reading+_At Meets Grade Level or Above,Harmony_Schools,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.18,0.36,-0.30,0.40,-0.07,0.32,-0.70,0.10,-0.16,0.35,-0.14,0.31
Harmony_Schools_Grade 5 Reading+_At Meets Grade Level or Above,Harmony_Schools,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.06,0.45,-0.09,0.40,-0.02,0.41,-0.09,0.55,-0.07,0.38,-0.10,0.35
Harmony_Schools_Grade 5 Reading+_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.21,0.67,-0.15,0.75,-0.26,0.57,-0.20,0.80,-0.22,0.65,-0.25,0.60
Harmony_Schools_Grade 5 Reading+_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.13,0.71,-0.07,0.72,-0.16,0.66,-0.20,0.74,-0.16,0.65,-0.18,0.65
Harmony_Schools_Grade 5 Science_At Masters Grade Level,Harmony_Schools,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.05,0.10,0.00,0.06,-0.05,0.07,-0.03,0.18,-0.05,0.06,-0.08,0.06
Harmony_Schools_Grade 5 Science_At Meets Grade Level or Above,Harmony_Schools,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.10,0.26,-0.08,0.18,-0.10,0.21,-0.19,0.32,-0.10,0.19,-0.14,0.18
Harmony_Schools_Grade 5 Science_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.19,0.48,-0.27,0.48,-0.18,0.42,-0.40,0.40,-0.20,0.45,-0.19,0.41
Harmony_Schools_Grade 5 Science_At Approaches Grade Level or Above,Harmony_Schools,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.10,0.55,-0.15,0.46,-0.08,0.51,-0.11,0.66,-0.11,0.48,-0.11,0.49
Houston_ISD_Grade 3 Mathematics_At Masters Grade Level,Houston_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.12,0.12,-0.08,0.05,-0.14,0.07,-0.09,0.38,-0.12,0.06,-0.14,0.08
Houston_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Houston_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.22,0.24,-0.19,0.12,-0.26,0.19,-0.13,0.59,-0.24,0.16,-0.27,0.19
Houston_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.25,0.51,-0.29,0.34,-0.29,0.48,-0.06,0.85,-0.29,0.43,-0.30,0.48
Houston_ISD_Grade 3 Reading_At Masters Grade Level,Houston_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.09,0.17,-0.08,0.08,-0.10,0.12,-0.06,0.48,-0.09,0.10,-0.11,0.12
Houston_ISD_Grade 3 Reading_At Meets Grade Level or Above,Houston_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.10,0.32,-0.07,0.22,-0.13,0.26,0.02,0.71,-0.12,0.23,-0.15,0.25
Houston_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.13,0.59,-0.11,0.49,-0.17,0.54,0.00,0.90,-0.16,0.51,-0.18,0.54
Houston_ISD_Grade 4 Mathematics_At Masters Grade Level,Houston_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.11,0.16,-0.07,0.08,-0.15,0.11,-0.08,0.44,-0.13,0.09,-0.15,0.12
Houston_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Houston_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.17,0.28,-0.13,0.17,-0.23,0.22,-0.09,0.61,-0.20,0.20,-0.24,0.22
Houston_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.23,0.49,-0.24,0.35,-0.28,0.45,-0.09,0.79,-0.28,0.41,-0.29,0.45
Houston_ISD_Grade 4 Reading_At Masters Grade Level,Houston_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.05,0.15,-0.03,0.09,-0.07,0.10,-0.03,0.44,-0.05,0.09,-0.06,0.10
Houston_ISD_Grade 4 Reading_At Meets Grade Level or Above,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.08,0.31,-0.06,0.23,-0.11,0.25,-0.02,0.66,-0.09,0.23,-0.10,0.24
Houston_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.13,0.56,-0.11,0.48,-0.17,0.51,-0.05,0.84,-0.15,0.49,-0.17,0.49
Houston_ISD_Grade 5 Mathematics+_At Masters Grade Level,Houston_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.16,0.20,-0.12,0.09,-0.19,0.15,-0.12,0.50,-0.17,0.13,-0.19,0.16
Houston_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Houston_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.20,0.35,-0.18,0.22,-0.24,0.31,-0.09,0.68,-0.22,0.28,-0.25,0.31
Houston_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Houston_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.26,0.60,-0.31,0.47,-0.29,0.57,-0.08,0.86,-0.30,0.54,-0.29,0.58
Houston_ISD_Grade 5 Reading+_At Masters Grade Level,Houston_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.00,0.26,-0.01,0.18,-0.01,0.20,0.04,0.63,-0.01,0.18,0.01,0.19
Houston_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Houston_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.06,0.41,-0.09,0.31,-0.07,0.36,-0.04,0.76,-0.08,0.33,-0.04,0.35
Houston_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Houston_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.15,0.66,-0.20,0.56,-0.16,0.64,-0.05,0.90,-0.17,0.61,-0.16,0.62
Houston_ISD_Grade 5 Science_At Masters Grade Level,Houston_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.09,0.10,-0.06,0.04,-0.11,0.06,-0.10,0.34,-0.10,0.04,-0.11,0.05
Houston_ISD_Grade 5 Science_At Meets Grade Level or Above,Houston_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.19,0.23,-0.14,0.15,-0.23,0.17,-0.12,0.58,-0.21,0.15,-0.22,0.15
Houston_ISD_Grade 5 Science_At Approaches Grade Level or Above,Houston_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.18,0.50,-0.18,0.41,-0.22,0.45,-0.06,0.82,-0.22,0.42,-0.22,0.43
Huffman_ISD_Grade 4 Mathematics_At Masters Grade Level,Huffman_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.09,0.13,-0.48,0.08,-0.12,0.09,-0.07,0.14,-0.15,0.05,-0.01,0.09
Huffman_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Huffman_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.14,0.23,-0.23,0.33,-0.22,0.17,-0.12,0.24,-0.19,0.14,-0.09,0.14
Huffman_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Huffman_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.17,0.50,-0.39,0.50,-0.13,0.48,-0.16,0.52,-0.23,0.37,0.05,0.50
Huffman_ISD_Grade 4 Reading_At Masters Grade Level,Huffman_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.03,0.15,-0.36,0.08,-0.11,0.08,0.02,0.18,-0.03,0.08,-0.01,0.05
Huffman_ISD_Grade 4 Reading_At Meets Grade Level or Above,Huffman_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.08,0.31,-0.31,0.25,-0.12,0.23,-0.05,0.34,-0.12,0.18,-0.05,0.18
Huffman_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Huffman_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.18,0.57,-0.22,0.67,-0.30,0.51,-0.15,0.58,-0.26,0.41,-0.36,0.32
Humble_ISD_Grade 3 Mathematics_At Masters Grade Level,Humble_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.09,0.12,-0.09,0.03,-0.05,0.08,-0.10,0.21,-0.05,0.06,-0.09,0.07
Humble_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Humble_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.15,0.30,-0.14,0.16,-0.14,0.23,-0.12,0.45,-0.15,0.16,-0.17,0.20
Humble_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.15,0.62,-0.19,0.44,-0.18,0.56,-0.09,0.78,-0.20,0.46,-0.22,0.52
Humble_ISD_Grade 3 Reading_At Masters Grade Level,Humble_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.09,0.19,-0.10,0.08,-0.06,0.14,-0.08,0.30,-0.07,0.09,-0.05,0.13
Humble_ISD_Grade 3 Reading_At Meets Grade Level or Above,Humble_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.07,0.39,-0.10,0.24,-0.08,0.30,-0.04,0.55,-0.08,0.22,-0.11,0.25
Humble_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Humble_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.09,0.69,-0.10,0.56,-0.12,0.62,-0.04,0.83,-0.13,0.54,-0.15,0.57
Humble_ISD_Grade 4 Mathematics_At Masters Grade Level,Humble_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.05,0.21,-0.04,0.08,-0.07,0.14,-0.04,0.34,-0.05,0.10,-0.10,0.12
Humble_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Humble_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.09,0.35,-0.08,0.18,-0.10,0.28,-0.06,0.53,-0.08,0.21,-0.12,0.25
Humble_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Humble_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.13,0.59,-0.13,0.42,-0.17,0.53,-0.09,0.75,-0.16,0.43,-0.21,0.47
Humble_ISD_Grade 4 Reading_At Masters Grade Level,Humble_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.06,0.17,-0.02,0.10,-0.07,0.11,-0.06,0.28,-0.05,0.07,-0.08,0.06
Humble_ISD_Grade 4 Reading_At Meets Grade Level or Above,Humble_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.08,0.37,-0.03,0.25,-0.10,0.29,-0.07,0.53,-0.05,0.22,-0.12,0.20
Humble_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Humble_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.10,0.64,-0.09,0.51,-0.13,0.58,-0.07,0.78,-0.12,0.48,-0.15,0.49
Humble_ISD_Grade 5 Mathematics+_At Masters Grade Level,Humble_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.13,0.24,-0.08,0.11,-0.12,0.16,-0.14,0.38,-0.10,0.10,-0.12,0.15
Humble_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Humble_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.12,0.44,-0.07,0.27,-0.15,0.35,-0.12,0.60,-0.13,0.27,-0.19,0.33
Humble_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Humble_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.17,0.71,-0.20,0.55,-0.23,0.66,-0.11,0.84,-0.22,0.57,-0.25,0.63
Humble_ISD_Grade 5 Reading+_At Masters Grade Level,Humble_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.01,0.33,0.05,0.21,-0.01,0.23,0.01,0.48,-0.01,0.17,-0.01,0.17
Humble_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Humble_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.07,0.50,-0.02,0.37,-0.10,0.40,-0.06,0.66,-0.08,0.33,-0.10,0.34
Humble_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Humble_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.11,0.77,-0.12,0.65,-0.13,0.73,-0.08,0.87,-0.14,0.66,-0.14,0.68
Humble_ISD_Grade 5 Science_At Masters Grade Level,Humble_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.10,0.12,-0.04,0.04,-0.09,0.06,-0.14,0.20,-0.06,0.04,-0.08,0.05
Humble_ISD_Grade 5 Science_At Meets Grade Level or Above,Humble_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.16,0.30,-0.10,0.14,-0.17,0.20,-0.16,0.48,-0.13,0.14,-0.18,0.16
Humble_ISD_Grade 5 Science_At Approaches Grade Level or Above,Humble_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.10,0.62,-0.07,0.45,-0.11,0.55,-0.09,0.78,-0.11,0.47,-0.16,0.50
Katy_ISD_Grade 3 Mathematics_At Masters Grade Level,Katy_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.10,0.27,-0.10,0.13,-0.06,0.17,-0.07,0.32,-0.06,0.13,-0.09,0.25
Katy_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Katy_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.13,0.49,-0.16,0.29,-0.14,0.35,-0.06,0.61,-0.14,0.29,-0.13,0.46
Katy_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.08,0.80,-0.11,0.65,-0.11,0.72,-0.04,0.88,-0.13,0.66,-0.09,0.79
Katy_ISD_Grade 3 Reading_At Masters Grade Level,Katy_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.08,0.33,-0.09,0.21,-0.07,0.24,-0.02,0.42,-0.07,0.18,-0.07,0.29
Katy_ISD_Grade 3 Reading_At Meets Grade Level or Above,Katy_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.03,0.58,-0.02,0.45,-0.03,0.47,0.03,0.68,-0.02,0.40,-0.01,0.53
Katy_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.04,0.85,-0.08,0.74,-0.05,0.78,0.01,0.92,-0.06,0.73,-0.03,0.82
Katy_ISD_Grade 4 Mathematics_At Masters Grade Level,Katy_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.03,0.41,-0.05,0.19,-0.04,0.26,-0.01,0.49,-0.03,0.20,-0.04,0.39
Katy_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Katy_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.05,0.59,-0.05,0.37,-0.08,0.44,-0.03,0.69,-0.07,0.37,-0.07,0.56
Katy_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.08,0.79,-0.11,0.61,-0.13,0.69,-0.05,0.87,-0.13,0.62,-0.09,0.77
Katy_ISD_Grade 4 Reading_At Masters Grade Level,Katy_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.04,0.32,-0.02,0.19,-0.05,0.21,-0.03,0.37,-0.03,0.16,-0.02,0.29
