Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Katy_ISD_Grade 4 Reading_At Meets Grade Level or Above,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.06,0.56,-0.05,0.40,-0.10,0.42,-0.04,0.65,-0.07,0.37,-0.06,0.51
Katy_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.07,0.81,-0.09,0.68,-0.10,0.74,-0.05,0.87,-0.10,0.68,-0.07,0.79
Katy_ISD_Grade 5 Mathematics+_At Masters Grade Level,Katy_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.08,0.45,-0.10,0.26,-0.08,0.30,-0.07,0.51,-0.11,0.23,-0.11,0.41
Katy_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Katy_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.07,0.66,-0.11,0.45,-0.09,0.54,-0.05,0.74,-0.11,0.46,-0.09,0.63
Katy_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Katy_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.10,0.86,-0.19,0.71,-0.13,0.81,-0.05,0.92,-0.17,0.75,-0.11,0.85
Katy_ISD_Grade 5 Reading+_At Masters Grade Level,Katy_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.04,0.49,0.05,0.37,0.03,0.37,0.04,0.55,0.03,0.30,0.02,0.43
Katy_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Katy_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.06,0.66,-0.05,0.54,-0.05,0.56,-0.05,0.72,-0.06,0.49,-0.06,0.61
Katy_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Katy_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.06,0.88,-0.10,0.79,-0.07,0.84,-0.05,0.92,-0.09,0.79,-0.06,0.87
Katy_ISD_Grade 5 Science_At Masters Grade Level,Katy_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.13,0.26,-0.12,0.12,-0.13,0.14,-0.13,0.31,-0.13,0.10,-0.14,0.22
Katy_ISD_Grade 5 Science_At Meets Grade Level or Above,Katy_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.16,0.52,-0.15,0.35,-0.20,0.38,-0.14,0.60,-0.21,0.31,-0.19,0.46
Katy_ISD_Grade 5 Science_At Approaches Grade Level or Above,Katy_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.07,0.81,-0.09,0.67,-0.11,0.73,-0.04,0.89,-0.13,0.66,-0.12,0.76
Klein_ISD_Grade 3 Mathematics_At Masters Grade Level,Klein_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.08,0.16,-0.05,0.07,-0.07,0.10,-0.09,0.25,-0.06,0.10,-0.07,0.13
Klein_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Klein_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.13,0.38,-0.14,0.22,-0.13,0.29,-0.11,0.52,-0.12,0.26,-0.13,0.32
Klein_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Klein_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.09,0.72,-0.17,0.54,-0.10,0.67,-0.06,0.83,-0.12,0.61,-0.08,0.70
Klein_ISD_Grade 3 Reading_At Masters Grade Level,Klein_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.08,0.23,-0.07,0.14,-0.09,0.15,-0.08,0.33,-0.07,0.15,-0.08,0.15
Klein_ISD_Grade 3 Reading_At Meets Grade Level or Above,Klein_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.06,0.44,-0.06,0.33,-0.05,0.35,-0.04,0.58,-0.05,0.32,-0.05,0.33
Klein_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.06,0.75,-0.10,0.63,-0.05,0.70,-0.04,0.85,-0.06,0.66,-0.06,0.68
Klein_ISD_Grade 4 Mathematics_At Masters Grade Level,Klein_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.06,0.24,-0.09,0.10,-0.07,0.16,-0.04,0.37,-0.06,0.14,-0.05,0.20
Klein_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Klein_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.10,0.41,-0.14,0.22,-0.12,0.32,-0.07,0.56,-0.12,0.28,-0.13,0.34
Klein_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Klein_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.11,0.68,-0.15,0.51,-0.12,0.62,-0.05,0.82,-0.13,0.57,-0.13,0.63
Klein_ISD_Grade 4 Reading_At Masters Grade Level,Klein_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.04,0.20,-0.04,0.11,-0.04,0.13,-0.05,0.30,-0.04,0.10,0.00,0.14
Klein_ISD_Grade 4 Reading_At Meets Grade Level or Above,Klein_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.07,0.41,-0.05,0.29,-0.05,0.33,-0.09,0.55,-0.07,0.28,-0.06,0.31
Klein_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.10,0.70,-0.10,0.58,-0.12,0.64,-0.08,0.81,-0.12,0.60,-0.12,0.64
Klein_ISD_Grade 5 Mathematics+_At Masters Grade Level,Klein_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.12,0.32,-0.10,0.16,-0.10,0.26,-0.12,0.44,-0.09,0.22,-0.09,0.29
Klein_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Klein_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.11,0.55,-0.12,0.37,-0.11,0.48,-0.10,0.67,-0.11,0.43,-0.09,0.51
Klein_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Klein_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.12,0.81,-0.20,0.69,-0.14,0.78,-0.07,0.89,-0.15,0.74,-0.12,0.80
Klein_ISD_Grade 5 Reading+_At Masters Grade Level,Klein_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.03,0.37,0.03,0.25,0.05,0.30,0.05,0.50,0.05,0.26,0.05,0.28
Klein_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Klein_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.04,0.54,-0.04,0.42,-0.02,0.46,-0.03,0.68,-0.03,0.42,0.00,0.44
Klein_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Klein_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.08,0.81,-0.08,0.75,-0.09,0.76,-0.05,0.90,-0.09,0.73,-0.07,0.75
Klein_ISD_Grade 5 Science_At Masters Grade Level,Klein_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.12,0.17,-0.06,0.06,-0.10,0.10,-0.15,0.29,-0.09,0.08,-0.09,0.10
Klein_ISD_Grade 5 Science_At Meets Grade Level or Above,Klein_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.15,0.39,-0.09,0.24,-0.14,0.30,-0.13,0.57,-0.13,0.25,-0.13,0.29
Klein_ISD_Grade 5 Science_At Approaches Grade Level or Above,Klein_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.06,0.72,-0.08,0.58,-0.06,0.65,-0.05,0.86,-0.08,0.60,-0.08,0.62
La_Porte_ISD_Grade 3 Mathematics_At Masters Grade Level,La_Porte_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.11,0.13,-0.07,0.04,-0.11,0.12,-0.14,0.15,-0.11,0.10,-0.06,0.14
La_Porte_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,La_Porte_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.10,0.40,0.10,0.44,-0.11,0.39,-0.14,0.40,-0.09,0.34,-0.01,0.36
La_Porte_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.05,0.80,0.01,0.78,-0.07,0.77,-0.03,0.85,-0.05,0.74,-0.02,0.71
La_Porte_ISD_Grade 3 Reading_At Masters Grade Level,La_Porte_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.11,0.21,-0.02,0.15,-0.13,0.19,-0.11,0.23,-0.10,0.16,-0.05,0.17
La_Porte_ISD_Grade 3 Reading_At Meets Grade Level or Above,La_Porte_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.09,0.44,0.10,0.44,-0.12,0.41,-0.10,0.46,-0.10,0.36,-0.07,0.36
La_Porte_ISD_Grade 3 Reading_At Approaches Grade Level or Above,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.07,0.79,0.15,0.85,-0.10,0.78,-0.08,0.80,-0.08,0.75,-0.16,0.64
La_Porte_ISD_Grade 4 Mathematics_At Masters Grade Level,La_Porte_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.02,0.27,-0.07,0.10,-0.01,0.27,-0.01,0.29,-0.01,0.20,-0.05,0.12
La_Porte_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,La_Porte_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.07,0.48,-0.10,0.31,-0.07,0.49,-0.06,0.49,-0.09,0.40,-0.20,0.30
La_Porte_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,La_Porte_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.11,0.73,-0.16,0.52,-0.13,0.74,-0.08,0.75,-0.14,0.67,-0.19,0.66
La_Porte_ISD_Grade 4 Reading_At Masters Grade Level,La_Porte_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.03,0.20,-0.07,0.10,-0.02,0.21,-0.04,0.20,0.01,0.17,0.03,0.16
La_Porte_ISD_Grade 4 Reading_At Meets Grade Level or Above,La_Porte_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.07,0.44,-0.08,0.31,-0.08,0.42,-0.07,0.48,-0.06,0.37,-0.02,0.34
La_Porte_ISD_Grade 4 Reading_At Approaches Grade Level or Above,La_Porte_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.11,0.75,-0.19,0.66,-0.11,0.73,-0.09,0.80,-0.08,0.74,-0.10,0.68
La_Porte_ISD_Grade 5 Mathematics+_At Masters Grade Level,La_Porte_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.09,0.38,-0.26,0.14,-0.06,0.40,-0.10,0.40,-0.06,0.33,-0.10,0.31
La_Porte_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,La_Porte_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.07,0.67,-0.14,0.46,-0.02,0.71,-0.11,0.66,-0.03,0.64,-0.06,0.61
La_Porte_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,La_Porte_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.09,0.89,-0.08,0.89,-0.08,0.90,-0.09,0.89,-0.12,0.87,-0.14,0.86
La_Porte_ISD_Grade 5 Reading+_At Masters Grade Level,La_Porte_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.08,0.40,-0.07,0.19,0.11,0.40,0.05,0.43,0.09,0.35,0.00,0.28
La_Porte_ISD_Grade 5 Reading+_At Meets Grade Level or Above,La_Porte_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,0.06,0.63,0.15,0.49,0.06,0.62,0.06,0.67,0.08,0.59,0.04,0.53
La_Porte_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,La_Porte_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.08,0.87,-0.05,0.78,-0.07,0.88,-0.09,0.87,-0.08,0.85,-0.10,0.81
La_Porte_ISD_Grade 5 Science_At Masters Grade Level,La_Porte_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.10,0.18,-0.11,0.03,-0.06,0.17,-0.14,0.22,-0.06,0.16,-0.04,0.10
La_Porte_ISD_Grade 5 Science_At Meets Grade Level or Above,La_Porte_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.10,0.45,-0.15,0.22,-0.11,0.41,-0.08,0.55,-0.05,0.41,-0.05,0.25
La_Porte_ISD_Grade 5 Science_At Approaches Grade Level or Above,La_Porte_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.04,0.81,-0.12,0.62,-0.02,0.81,-0.05,0.84,-0.01,0.78,-0.01,0.71
Pasadena_ISD_Grade 3 Mathematics_At Masters Grade Level,Pasadena_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.11,0.06,-0.07,0.04,-0.11,0.05,-0.18,0.08,-0.11,0.05,-0.13,0.07
Pasadena_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Pasadena_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.23,0.18,-0.19,0.09,-0.22,0.18,-0.35,0.21,-0.23,0.16,-0.24,0.21
Pasadena_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Pasadena_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.27,0.51,-0.38,0.29,-0.27,0.51,-0.25,0.58,-0.29,0.48,-0.27,0.55
Pasadena_ISD_Grade 3 Reading_At Masters Grade Level,Pasadena_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.11,0.12,-0.08,0.06,-0.11,0.12,-0.05,0.18,-0.11,0.11,-0.10,0.15
Pasadena_ISD_Grade 3 Reading_At Meets Grade Level or Above,Pasadena_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.15,0.27,-0.14,0.17,-0.15,0.27,-0.12,0.33,-0.15,0.25,-0.18,0.28
Pasadena_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.21,0.59,-0.24,0.49,-0.21,0.59,-0.17,0.66,-0.22,0.57,-0.24,0.58
Pasadena_ISD_Grade 4 Mathematics_At Masters Grade Level,Pasadena_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.08,0.10,-0.08,0.04,-0.09,0.09,-0.03,0.18,-0.08,0.09,-0.11,0.09
Pasadena_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Pasadena_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.19,0.21,-0.18,0.12,-0.18,0.21,-0.17,0.30,-0.19,0.20,-0.25,0.20
Pasadena_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Pasadena_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.25,0.50,-0.26,0.37,-0.25,0.50,-0.25,0.55,-0.26,0.48,-0.29,0.50
Pasadena_ISD_Grade 4 Reading_At Masters Grade Level,Pasadena_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.09,0.08,-0.10,0.06,-0.08,0.08,-0.13,0.17,-0.09,0.07,-0.09,0.06
Pasadena_ISD_Grade 4 Reading_At Meets Grade Level or Above,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.16,0.25,-0.14,0.21,-0.17,0.23,-0.13,0.39,-0.16,0.23,-0.18,0.20
Pasadena_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.23,0.54,-0.27,0.43,-0.24,0.53,-0.15,0.67,-0.24,0.52,-0.25,0.50
Pasadena_ISD_Grade 5 Mathematics+_At Masters Grade Level,Pasadena_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.15,0.10,-0.14,0.03,-0.15,0.09,-0.16,0.16,-0.15,0.08,-0.18,0.07
Pasadena_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Pasadena_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.23,0.25,-0.23,0.13,-0.23,0.24,-0.24,0.33,-0.22,0.23,-0.27,0.21
Pasadena_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Pasadena_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.29,0.58,-0.34,0.45,-0.31,0.57,-0.28,0.62,-0.30,0.56,-0.34,0.55
Pasadena_ISD_Grade 5 Reading+_At Masters Grade Level,Pasadena_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,-0.04,0.17,-0.06,0.13,-0.04,0.16,-0.03,0.32,-0.04,0.15,-0.07,0.11
Pasadena_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Pasadena_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.16,0.31,-0.17,0.24,-0.16,0.29,-0.13,0.46,-0.15,0.28,-0.20,0.22
Pasadena_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Pasadena_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.22,0.62,-0.23,0.54,-0.23,0.61,-0.20,0.68,-0.23,0.60,-0.27,0.56
Pasadena_ISD_Grade 5 Science_At Masters Grade Level,Pasadena_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.15,0.04,-0.07,0.03,-0.14,0.03,-0.22,0.09,-0.13,0.03,-0.15,0.02
Pasadena_ISD_Grade 5 Science_At Meets Grade Level or Above,Pasadena_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.28,0.16,-0.22,0.10,-0.29,0.14,-0.32,0.29,-0.27,0.14,-0.31,0.11
Pasadena_ISD_Grade 5 Science_At Approaches Grade Level or Above,Pasadena_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.24,0.49,-0.30,0.35,-0.25,0.48,-0.21,0.61,-0.25,0.46,-0.27,0.44
Sheldon_ISD_Grade 3 Mathematics_At Masters Grade Level,Sheldon_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.10,0.08,-0.04,0.05,-0.11,0.08,-0.14,0.19,-0.10,0.07,-0.13,0.07
Sheldon_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Sheldon_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.18,0.20,-0.13,0.11,-0.20,0.21,-0.31,0.27,-0.17,0.19,-0.23,0.19
Sheldon_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Sheldon_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.24,0.52,-0.26,0.40,-0.25,0.54,-0.15,0.58,-0.25,0.51,-0.24,0.55
Sheldon_ISD_Grade 3 Reading_At Masters Grade Level,Sheldon_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.12,0.06,-0.06,0.07,-0.15,0.05,-0.02,0.19,-0.12,0.05,-0.15,0.03
Sheldon_ISD_Grade 3 Reading_At Meets Grade Level or Above,Sheldon_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.11,0.22,-0.07,0.17,-0.13,0.22,0.04,0.46,-0.10,0.21,-0.17,0.17
Sheldon_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Sheldon_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.13,0.53,-0.07,0.50,-0.16,0.53,-0.01,0.69,-0.16,0.50,-0.18,0.51
Sheldon_ISD_Grade 4 Mathematics_At Masters Grade Level,Sheldon_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.09,0.13,-0.06,0.06,-0.10,0.15,-0.03,0.16,-0.10,0.11,-0.11,0.13
Sheldon_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Sheldon_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.16,0.24,-0.09,0.12,-0.17,0.27,-0.16,0.21,-0.17,0.22,-0.17,0.25
Sheldon_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Sheldon_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.19,0.46,-0.21,0.31,-0.19,0.50,-0.26,0.37,-0.20,0.45,-0.17,0.49
Sheldon_ISD_Grade 4 Reading_At Masters Grade Level,Sheldon_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.07,0.08,-0.04,0.02,-0.08,0.10,0.04,0.11,-0.07,0.07,-0.08,0.08
Sheldon_ISD_Grade 4 Reading_At Meets Grade Level or Above,Sheldon_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.10,0.22,-0.07,0.14,-0.12,0.24,0.02,0.21,-0.11,0.20,-0.09,0.21
Sheldon_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Sheldon_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.20,0.45,-0.23,0.32,-0.19,0.49,-0.37,0.26,-0.22,0.43,-0.21,0.44
Sheldon_ISD_Grade 5 Mathematics+_At Masters Grade Level,Sheldon_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.12,0.14,-0.03,0.08,-0.14,0.16,-0.09,0.08,-0.12,0.13,-0.14,0.18
Sheldon_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Sheldon_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.14,0.31,-0.04,0.19,-0.17,0.34,0.03,0.42,-0.16,0.29,-0.18,0.34
Sheldon_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Sheldon_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.27,0.57,-0.22,0.48,-0.27,0.60,-0.16,0.71,-0.28,0.56,-0.30,0.60
