Primary_Key_2019_2021,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2021,YOY_Region_2021,YOY_District_2021,YOY_African_American_2021,YoY_Hispanic_2021,YoY_White_2021,YoY_Econ_Disadv_2021,YoY_ELL_2021
Aldine_ISD_Grade 3 Mathematics_At Masters Grade Level_2021,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,2021,-0.11,-0.1,-0.12,-0.07,-0.14,-0.12,-0.13,-0.16
Aldine_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.28,-0.2,-0.3,-0.33,-0.27,-0.31
Aldine_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.37,-0.38,-0.37,-0.47,-0.37,-0.39
Aldine_ISD_Grade 3 Reading_At Masters Grade Level_2021,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2019,2021,-0.08,-0.08,-0.11,-0.09,-0.12,-0.18,-0.12,-0.12
Aldine_ISD_Grade 3 Reading_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,2021,-0.06,-0.07,-0.16,-0.12,-0.17,-0.11,-0.15,-0.18
Aldine_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.24,-0.22,-0.25,-0.27,-0.24,-0.27
Aldine_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,-0.12,-0.04,-0.14,-0.08,-0.12,-0.13
Aldine_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,2021,-0.12,-0.12,-0.23,-0.14,-0.26,-0.09,-0.22,-0.26
Aldine_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.16,-0.16,-0.35,-0.32,-0.36,-0.18,-0.35,-0.37
Aldine_ISD_Grade 4 Reading_At Masters Grade Level_2021,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2019,2021,-0.05,-0.05,-0.07,-0.05,-0.08,-0.05,-0.07,-0.06
Aldine_ISD_Grade 4 Reading_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,2021,-0.08,-0.08,-0.17,-0.09,-0.18,-0.05,-0.17,-0.16
Aldine_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,2021,-0.12,-0.12,-0.28,-0.22,-0.3,-0.1,-0.28,-0.3
Aldine_ISD_Grade 5 Mathematics+_At Masters Grade Level_2021,Aldine_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,2021,-0.11,-0.12,-0.19,-0.16,-0.2,-0.29,-0.18,-0.17
Aldine_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,2021,-0.14,-0.14,-0.28,-0.24,-0.29,-0.21,-0.27,-0.28
Aldine_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,2021,-0.2,-0.19,-0.37,-0.41,-0.37,-0.33,-0.38,-0.38
Aldine_ISD_Grade 5 Reading+_At Masters Grade Level_2021,Aldine_ISD,Grade 5 Reading+,At Masters Grade Level,2019,2021,0.01,0.01,-0.04,-0.03,-0.04,-0.08,-0.03,-0.01
Aldine_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,2021,-0.08,-0.07,-0.13,-0.13,-0.14,-0.07,-0.13,-0.1
Aldine_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.24,-0.26,-0.25,-0.1,-0.25,-0.25
Aldine_ISD_Grade 5 Science_At Masters Grade Level_2021,Aldine_ISD,Grade 5 Science,At Masters Grade Level,2019,2021,-0.11,-0.11,-0.08,-0.05,-0.09,-0.14,-0.08,-0.07
Aldine_ISD_Grade 5 Science_At Meets Grade Level or Above_2021,Aldine_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.22,-0.15,-0.24,-0.31,-0.22,-0.21
Aldine_ISD_Grade 5 Science_At Approaches Grade Level or Above_2021,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.25,-0.23,-0.27,-0.17,-0.26,-0.26
Alief_ISD_Grade 3 Mathematics_At Masters Grade Level_2021,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,2021,-0.11,-0.1,-0.11,-0.11,-0.08,-0.12,-0.1,-0.11
Alief_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2021,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.2,-0.21,-0.18,-0.25,-0.2,-0.19
Alief_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.23,-0.21,-0.26,-0.25,-0.23,-0.23
Alief_ISD_Grade 3 Reading_At Masters Grade Level_2021,Alief_ISD,Grade 3 Reading,At Masters Grade Level,2019,2021,-0.08,-0.08,-0.07,-0.05,-0.06,-0.1,-0.06,-0.08
Alief_ISD_Grade 3 Reading_At Meets Grade Level or Above_2021,Alief_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,2021,-0.06,-0.07,-0.08,-0.06,-0.08,-0.14,-0.09,-0.09
Alief_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.12,-0.12,-0.13,-0.15,-0.12,-0.12
Alief_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,Alief_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,-0.14,-0.11,-0.14,-0.14,-0.13,-0.14
Alief_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2021,Alief_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,2021,-0.12,-0.12,-0.22,-0.21,-0.23,-0.22,-0.21,-0.22
Alief_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.16,-0.16,-0.26,-0.24,-0.27,-0.26,-0.25,-0.26
Alief_ISD_Grade 4 Reading_At Masters Grade Level_2021,Alief_ISD,Grade 4 Reading,At Masters Grade Level,2019,2021,-0.05,-0.05,-0.06,-0.05,-0.05,-0.07,-0.05,-0.07
Alief_ISD_Grade 4 Reading_At Meets Grade Level or Above_2021,Alief_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,2021,-0.08,-0.08,-0.1,-0.05,-0.11,-0.18,-0.09,-0.11
Alief_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,2021,-0.12,-0.12,-0.2,-0.14,-0.21,-0.17,-0.19,-0.2
Alief_ISD_Grade 5 Mathematics+_At Masters Grade Level_2021,Alief_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,2021,-0.11,-0.12,-0.13,-0.11,-0.12,-0.17,-0.13,-0.13
Alief_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2021,Alief_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,2021,-0.14,-0.14,-0.19,-0.14,-0.2,-0.22,-0.18,-0.21
Alief_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,2021,-0.2,-0.19,-0.29,-0.3,-0.32,-0.33,-0.3,-0.3
Alief_ISD_Grade 5 Reading+_At Masters Grade Level_2021,Alief_ISD,Grade 5 Reading+,At Masters Grade Level,2019,2021,0.01,0.01,-0.04,-0.01,-0.06,-0.08,-0.04,-0.04
Alief_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2021,Alief_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,2021,-0.08,-0.07,-0.14,-0.13,-0.13,-0.2,-0.14,-0.14
Alief_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.22,-0.23,-0.24,-0.26,-0.22,-0.21
Alief_ISD_Grade 5 Science_At Masters Grade Level_2021,Alief_ISD,Grade 5 Science,At Masters Grade Level,2019,2021,-0.11,-0.11,-0.09,-0.05,-0.08,-0.15,-0.08,-0.09
Alief_ISD_Grade 5 Science_At Meets Grade Level or Above_2021,Alief_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.2,-0.12,-0.22,-0.26,-0.2,-0.21
Alief_ISD_Grade 5 Science_At Approaches Grade Level or Above_2021,Alief_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.22,-0.18,-0.25,-0.26,-0.23,-0.24
CHANNELVIEW_ISD_Grade 3 Mathematics_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,2021,-0.11,-0.1,-0.11,-0.08,-0.12,-0.15,-0.11,-0.1
CHANNELVIEW_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.21,-0.2,-0.23,-0.17,-0.21,-0.17
CHANNELVIEW_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.21,-0.19,-0.22,-0.13,-0.23,-0.21
CHANNELVIEW_ISD_Grade 3 Reading_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 3 Reading,At Masters Grade Level,2019,2021,-0.08,-0.08,-0.1,-0.15,-0.11,0,-0.11,-0.06
CHANNELVIEW_ISD_Grade 3 Reading_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,2021,-0.06,-0.07,-0.11,-0.14,-0.12,-0.04,-0.14,-0.12
CHANNELVIEW_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.11,-0.11,-0.13,0.04,-0.12,-0.1
CHANNELVIEW_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,-0.11,-0.02,-0.14,-0.04,-0.12,-0.15
CHANNELVIEW_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,2021,-0.12,-0.12,-0.2,-0.09,-0.2,-0.3,-0.19,-0.23
CHANNELVIEW_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.16,-0.16,-0.23,-0.34,-0.23,-0.21,-0.24,-0.22
CHANNELVIEW_ISD_Grade 4 Reading_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 4 Reading,At Masters Grade Level,2019,2021,-0.05,-0.05,-0.04,0.02,-0.05,-0.08,-0.05,-0.04
CHANNELVIEW_ISD_Grade 4 Reading_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,2021,-0.08,-0.08,-0.07,-0.09,-0.06,-0.19,-0.06,-0.05
CHANNELVIEW_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,2021,-0.12,-0.12,-0.15,-0.15,-0.14,-0.19,-0.17,-0.14
CHANNELVIEW_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,2021,-0.14,-0.14,-0.18,-0.38,-0.16,-0.18,-0.17,-0.2
CHANNELVIEW_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,2021,-0.2,-0.19,-0.24,-0.39,-0.21,-0.28,-0.22,-0.22
CHANNELVIEW_ISD_Grade 5 Reading+_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 5 Reading+,At Masters Grade Level,2019,2021,0.01,0.01,0.02,-0.04,0.04,-0.05,0.02,0.01
CHANNELVIEW_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,2021,-0.08,-0.07,-0.05,-0.19,-0.02,-0.25,-0.05,-0.03
CHANNELVIEW_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.19,-0.39,-0.15,-0.37,-0.2,-0.17
CHANNELVIEW_ISD_Grade 5 Science_At Masters Grade Level_2021,CHANNELVIEW_ISD,Grade 5 Science,At Masters Grade Level,2019,2021,-0.11,-0.11,-0.13,-0.09,-0.13,-0.19,-0.11,-0.13
CHANNELVIEW_ISD_Grade 5 Science_At Meets Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.25,-0.29,-0.23,-0.39,-0.23,-0.21
CHANNELVIEW_ISD_Grade 5 Science_At Approaches Grade Level or Above_2021,CHANNELVIEW_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.19,-0.48,-0.15,-0.3,-0.17,-0.12
CROSBY_ISD_Grade 3 Mathematics_At Masters Grade Level_2021,CROSBY_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,2021,-0.11,-0.1,-0.02,0.08,-0.02,-0.06,-0.02,-0.04
CROSBY_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.09,-0.08,-0.07,-0.1,-0.12,-0.15
CROSBY_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.11,-0.35,-0.09,-0.08,-0.17,-0.1
CROSBY_ISD_Grade 3 Reading_At Masters Grade Level_2021,CROSBY_ISD,Grade 3 Reading,At Masters Grade Level,2019,2021,-0.08,-0.08,-0.03,0.05,-0.04,-0.06,-0.03,-0.08
CROSBY_ISD_Grade 3 Reading_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,2021,-0.06,-0.07,-0.01,0.08,-0.02,-0.02,-0.01,-0.1
CROSBY_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.05,-0.11,-0.04,-0.01,-0.07,-0.14
CROSBY_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,CROSBY_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,0.06,-0.04,0.07,0.09,0.04,0.06
CROSBY_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,2021,-0.12,-0.12,0.09,0,0.06,0.13,0.06,0.04
CROSBY_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.16,-0.16,0.01,-0.06,-0.02,0.01,-0.03,-0.07
CROSBY_ISD_Grade 4 Reading_At Masters Grade Level_2021,CROSBY_ISD,Grade 4 Reading,At Masters Grade Level,2019,2021,-0.05,-0.05,0,0.02,0,-0.01,0.02,-0.04
CROSBY_ISD_Grade 4 Reading_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,2021,-0.08,-0.08,0.01,0.03,0,-0.01,0.05,0.05
CROSBY_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,2021,-0.12,-0.12,-0.01,-0.04,-0.04,0.03,0.01,-0.02
CROSBY_ISD_Grade 5 Mathematics+_At Masters Grade Level_2021,CROSBY_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,2021,-0.11,-0.12,-0.11,-0.23,-0.11,-0.08,-0.12,-0.18
CROSBY_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,2021,-0.14,-0.14,-0.09,-0.22,-0.11,-0.04,-0.09,-0.13
CROSBY_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,2021,-0.2,-0.19,-0.17,-0.2,-0.21,-0.11,-0.21,-0.25
CROSBY_ISD_Grade 5 Reading+_At Masters Grade Level_2021,CROSBY_ISD,Grade 5 Reading+,At Masters Grade Level,2019,2021,0.01,0.01,0.05,0.02,0.02,0.12,0.03,0.01
CROSBY_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,2021,-0.08,-0.07,-0.01,0,-0.05,0.06,-0.02,-0.12
CROSBY_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.04,0,-0.05,-0.03,-0.06,-0.1
CROSBY_ISD_Grade 5 Science_At Masters Grade Level_2021,CROSBY_ISD,Grade 5 Science,At Masters Grade Level,2019,2021,-0.11,-0.11,-0.1,-0.1,-0.11,-0.05,-0.07,-0.15
CROSBY_ISD_Grade 5 Science_At Meets Grade Level or Above_2021,CROSBY_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.2,-0.12,-0.24,-0.15,-0.21,-0.34
CROSBY_ISD_Grade 5 Science_At Approaches Grade Level or Above_2021,CROSBY_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.14,-0.18,-0.19,-0.05,-0.18,-0.32
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,2021,-0.11,-0.1,-0.08,-0.06,-0.06,-0.13,-0.06,-0.07
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.15,-0.14,-0.15,-0.14,-0.14,-0.13
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.14,-0.2,-0.16,-0.06,-0.18,-0.15
Cypress_Fairbanks_ISD_Grade 3 Reading_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 3 Reading,At Masters Grade Level,2019,2021,-0.08,-0.08,-0.07,-0.08,-0.07,-0.07,-0.08,-0.09
Cypress_Fairbanks_ISD_Grade 3 Reading_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,2021,-0.06,-0.07,-0.02,-0.03,-0.03,0,-0.03,-0.05
Cypress_Fairbanks_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.04,-0.05,-0.06,-0.01,-0.05,-0.07
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,-0.09,-0.08,-0.09,-0.09,-0.09,-0.11
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,2021,-0.12,-0.12,-0.15,-0.15,-0.17,-0.11,-0.17,-0.18
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.16,-0.16,-0.17,-0.22,-0.22,-0.1,-0.22,-0.21
Cypress_Fairbanks_ISD_Grade 4 Reading_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 4 Reading,At Masters Grade Level,2019,2021,-0.05,-0.05,-0.04,-0.01,-0.04,-0.04,-0.04,-0.06
Cypress_Fairbanks_ISD_Grade 4 Reading_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,2021,-0.08,-0.08,-0.07,-0.05,-0.08,-0.09,-0.08,-0.09
Cypress_Fairbanks_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,2021,-0.12,-0.12,-0.1,-0.1,-0.12,-0.08,-0.13,-0.13
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,2021,-0.11,-0.12,-0.1,-0.11,-0.1,-0.09,-0.1,-0.11
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,2021,-0.14,-0.14,-0.11,-0.17,-0.13,-0.07,-0.13,-0.12
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,2021,-0.2,-0.19,-0.17,-0.25,-0.22,-0.08,-0.22,-0.2
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Masters Grade Level,2019,2021,0.01,0.01,0.02,0.01,0.01,0.04,0.02,0.02
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,2021,-0.08,-0.07,-0.07,-0.11,-0.07,-0.06,-0.07,-0.06
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.11,-0.16,-0.13,-0.07,-0.14,-0.13
Cypress_Fairbanks_ISD_Grade 5 Science_At Masters Grade Level_2021,Cypress_Fairbanks_ISD,Grade 5 Science,At Masters Grade Level,2019,2021,-0.11,-0.11,-0.17,-0.14,-0.16,-0.2,-0.14,-0.16
Cypress_Fairbanks_ISD_Grade 5 Science_At Meets Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,2021,-0.18,-0.18,-0.21,-0.22,-0.24,-0.17,-0.22,-0.23
Cypress_Fairbanks_ISD_Grade 5 Science_At Approaches Grade Level or Above_2021,Cypress_Fairbanks_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,2021,-0.13,-0.13,-0.11,-0.18,-0.15,-0.05,-0.15,-0.14
Deer_Park_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2021,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,2021,-0.17,-0.17,-0.12,-0.34,-0.13,-0.1,-0.14,-0.08
Deer_Park_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2021,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,2021,-0.09,-0.08,-0.1,-0.23,-0.11,-0.05,-0.1,-0.02
Deer_Park_ISD_Grade 4 Mathematics_At Masters Grade Level_2021,Deer_Park_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,2021,-0.07,-0.08,-0.07,-0.15,-0.05,-0.07,-0.06,-0.07
